half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
135,7,2027,0.4447334200260078,0.5960000000000001,0.5,0.5,0.0,0.2307312862251819,1871,271,200,15,2026-08-13T16:21:30.459865+00:00
135,7,1337,0.4435695538057743,0.5640000000000001,0.30000000000000004,0.6,0.1,0.2272783327167345,1843,223,200,15,2026-08-13T16:21:40.599523+00:00
135,9,42,0.4445893089960887,0.5960000000000001,0.30000000000000004,0.7,0.0,0.2297447280799112,1863,287,200,15,2026-08-13T16:21:52.254117+00:00
135,9,2026,0.4445927903871829,0.6040000000000001,0.2,0.7999999999999999,0.0,0.22086570477247502,1791,332,200,15,2026-08-13T16:22:05.175489+00:00
135,9,777,0.44297956493078444,0.5640000000000001,0.5,0.4,0.1,0.2255518559625108,1829,257,200,15,2026-08-13T16:22:16.004624+00:00
135,9,2027,0.44152515219480937,0.56,0.4,0.5,0.1,0.2362806757923295,1916,265,200,15,2026-08-13T16:22:27.160979+00:00
135,9,1337,0.44085326438267614,0.532,0.4,0.4,0.2,0.23295104205204095,1889,275,200,15,2026-08-13T16:22:38.637169+00:00
150,3,42,0.4425342247691818,0.528,0.4,0.4,0.2,0.23874707115550622,1936,257,200,15,2026-08-13T16:22:51.729474+00:00
150,3,2026,0.443268276546477,0.536,0.30000000000000004,0.5,0.2,0.2241953385127636,1818,285,200,15,2026-08-13T16:23:04.417425+00:00
150,3,777,0.4412438625204583,0.5680000000000001,0.5,0.4,0.1,0.22814157109384633,1850,222,200,15,2026-08-13T16:23:15.348547+00:00
150,3,2027,0.4437850313221233,0.508,0.0,0.7,0.3,0.22542853619435196,1828,195,200,15,2026-08-13T16:23:25.553784+00:00
150,3,1337,0.4371619471842189,0.556,0.5,0.4,0.1,0.2389937106918239,1938,232,200,15,2026-08-13T16:23:36.767557+00:00
150,5,42,0.4417725867399519,0.5760000000000001,0.0,0.8999999999999999,0.1,0.210383524478974,1706,284,200,15,2026-08-13T16:23:49.708737+00:00
150,5,2026,0.4394736842105263,0.5640000000000001,0.4,0.5,0.1,0.2262917745714638,1835,285,200,15,2026-08-13T16:24:02.607582+00:00
150,5,777,0.4411384217335058,0.5640000000000001,0.5,0.4,0.1,0.23270440251572327,1887,267,200,15,2026-08-13T16:24:14.997183+00:00
150,5,2027,0.445290199809705,0.556,0.2,0.7,0.1,0.24022690837341226,1948,246,200,15,2026-08-13T16:24:26.498622+00:00
150,5,1337,0.44511581067472306,0.6040000000000001,0.5,0.5,0.0,0.2187692687137748,1774,250,200,15,2026-08-13T16:24:38.355130+00:00
150,7,42,0.4418834376028976,0.5680000000000001,0.5,0.4,0.1,0.2259218152669873,1832,210,200,15,2026-08-13T16:24:49.213317+00:00
150,7,2026,0.44148244473342,0.56,0.5,0.4,0.1,0.2307312862251819,1871,236,200,15,2026-08-13T16:25:00.791807+00:00
